datetime_utc,run_id,checkpoint,task_id,task_description,initial_fitness,final_fitness,program,rule
2025-07-01 11:07:23,36c52cb8,100,8,power of 2,-20.18581771850586,-3.457545518875122,"1,0,1,0,0,0,0,0,0,1","0,3,0,0,1,2,1,3,2,3,3,1,3,3,3,3,1,2,1,0,2,3,1,0,1,1,1,0,2,3,0,0,0,0,1,0,2,3,1,3,1,2,2,0,1,3,3,1,0,3,3,3,1,2,2,2,1,0,2,2,3,2,3,1"
2025-07-01 11:12:46,36c52cb8,200,8,power of 2,-20.18581771850586,-2.458545446395874,"2,1,0,1,0,0,0,0,0,1","0,1,0,0,3,2,1,2,2,1,3,3,3,3,3,3,1,0,1,0,2,3,1,0,1,1,1,3,3,0,0,1,0,3,1,0,2,3,1,0,1,2,2,0,3,3,3,0,0,3,0,3,1,2,2,1,1,3,2,3,3,1,3,1"
2025-07-01 11:18:03,36c52cb8,300,8,power of 2,-20.18581771850586,-2.457545518875122,"1,0,0,1,0,0,0,0,0,1","0,1,0,0,3,2,1,2,2,0,3,1,3,3,3,3,1,0,1,0,2,3,1,0,1,3,1,3,3,0,0,1,0,3,1,0,2,3,1,0,1,2,2,0,3,3,3,0,0,3,0,3,1,2,2,1,1,3,2,3,3,1,3,1"
2025-07-01 11:23:11,36c52cb8,400,8,power of 2,-20.18581771850586,-2.457545518875122,"1,0,0,1,0,0,0,0,0,1","0,1,0,0,3,2,1,2,2,0,3,1,3,3,3,3,1,0,1,0,2,3,1,0,1,1,1,3,2,0,0,1,0,3,1,0,2,3,1,0,1,2,2,0,3,3,3,0,0,3,0,3,1,2,1,1,1,3,2,3,3,1,3,1"
2025-07-01 11:28:20,36c52cb8,500,8,power of 2,-20.18581771850586,-2.457545518875122,"1,0,0,1,0,0,0,0,0,1","0,1,0,0,3,2,1,2,2,0,3,1,3,3,3,3,1,0,1,0,2,3,1,0,1,1,1,3,2,0,0,1,0,3,1,0,2,3,1,0,1,2,2,0,3,3,3,0,0,3,0,3,1,2,1,1,1,3,2,3,3,1,3,1"
2025-07-01 11:33:43,36c52cb8,600,8,power of 2,-20.18581771850586,-2.366636276245117,"1,0,0,1,0,0,0,0,0,1","0,1,0,0,3,2,1,2,2,0,3,2,3,3,3,3,1,0,1,0,2,3,1,0,1,3,1,1,2,0,0,1,0,3,2,0,2,3,1,0,1,2,2,0,3,3,3,0,0,3,2,3,1,2,0,1,1,3,2,3,3,1,3,1"
2025-07-02 11:26:29,a0a1475a,50,6,add 1,-0.9353333115577698,-0.0,"0,0,0,0,0,0,0,0,0,0","0,1,3,2,0,1,1,0,0,3,1,1,3,2,3,2,0,0,0,0,3,3,3,1,2,1,2,3,0,0,1,3,2,1,3,2,0,2,1,1,2,3,1,3,3,2,0,1,0,2,3,0,3,1,0,1,0,1,0,0,0,2,1,1"
2025-07-02 11:29:51,f4c10bbb,50,7,subtract 1,-0.871666669845581,-0.0,"0,0,0,0,0,0,0,0,0,0","0,0,2,3,3,3,0,0,3,1,2,0,0,3,2,1,0,1,2,3,0,2,1,0,2,0,3,1,3,2,2,0,0,1,0,0,1,0,3,3,2,1,1,1,2,0,0,3,1,3,2,2,1,0,0,3,0,2,0,3,3,1,3,1"
2025-07-02 11:34:21,9ffdf358,50,2,multiply by 3,-10.00100040435791,-1.9363332986831665,"0,0,0,0,0,0,2,1,1,0","0,1,0,0,0,0,0,1,2,3,2,3,3,3,3,3,1,3,1,2,1,2,2,0,1,2,0,2,0,2,1,2,0,2,1,1,2,0,2,3,2,0,2,3,3,3,2,2,0,2,1,0,3,3,0,2,0,0,0,3,3,3,0,2"
2025-07-02 11:36:49,9ffdf358,100,2,multiply by 3,-10.00100040435791,-0.0010000000474974513,"0,0,0,0,0,0,0,0,1,0","0,1,0,0,0,2,2,2,2,3,2,3,3,3,3,3,1,3,1,0,1,2,2,0,1,2,2,0,0,2,2,2,0,2,1,1,2,0,2,3,2,0,2,3,3,1,2,2,0,2,3,2,3,0,3,0,2,0,1,1,3,0,1,2"
2025-07-02 11:39:47,81691519,50,3,multiply by 4,-15.085332870483398,-1.7946666479110718,"1,0,1,0,0,0,0,0,1,0","0,1,0,0,0,2,2,1,2,1,2,0,3,2,3,3,1,1,3,0,3,1,0,1,1,3,0,0,0,3,2,0,0,0,3,0,2,1,0,0,3,0,0,0,2,1,1,0,0,3,3,3,2,1,0,3,1,3,0,3,3,0,3,2"
2025-07-02 11:41:58,81691519,100,3,multiply by 4,-15.085332870483398,-0.37599998712539673,"0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,1,1,2,0,2,0,3,2,3,3,1,1,3,0,3,1,3,1,1,3,0,0,3,2,2,0,0,0,3,0,2,1,0,0,0,0,3,0,0,1,1,0,0,3,3,3,2,1,3,3,1,3,0,3,3,2,3,2"
2025-07-02 11:44:15,81691519,150,3,multiply by 4,-15.085332870483398,-0.12700000405311584,"0,0,0,0,0,2,0,1,0,0","0,1,0,0,0,1,1,1,2,0,2,0,3,2,3,3,1,1,3,0,1,0,0,2,1,3,0,1,3,2,2,0,0,0,3,1,2,3,0,0,3,2,3,0,0,0,1,0,0,3,3,3,2,0,1,3,1,3,0,3,3,3,3,2"
2025-07-02 11:46:34,81691519,200,3,multiply by 4,-15.085332870483398,-0.0020000000949949026,"0,0,0,0,0,2,0,1,0,0","0,1,0,0,0,1,0,0,2,0,2,3,3,2,3,3,1,1,3,0,3,0,3,1,1,3,3,2,2,2,2,3,0,0,1,1,1,3,0,0,3,2,0,0,0,1,3,0,0,3,3,3,2,0,1,0,1,3,0,3,3,2,3,2"
2025-07-02 11:51:41,f249e219,50,11,x3 mod 8,-6.826529502868652,-1.766705870628357,"0,0,0,0,0,0,0,1,1,0","0,1,0,0,0,3,3,3,2,3,0,0,3,1,2,3,1,1,3,3,0,0,3,3,2,0,3,1,3,1,2,0,0,2,0,1,0,2,1,1,3,1,2,2,3,1,1,1,0,0,2,1,2,1,3,1,0,3,0,1,3,3,1,0"
2025-07-02 11:54:47,f249e219,100,11,x3 mod 8,-6.826529502868652,-1.3255294561386108,"0,0,0,0,0,0,0,1,1,0","0,1,0,0,0,3,3,3,2,1,0,0,3,1,2,3,1,1,3,3,0,0,3,3,2,0,3,1,3,3,2,3,0,3,0,2,0,2,1,1,3,1,2,2,3,1,1,1,0,0,2,1,2,1,3,1,0,3,0,1,3,3,1,0"
2025-07-02 11:57:29,f249e219,150,11,x3 mod 8,-6.826529502868652,-1.1226470470428467,"1,0,0,1,0,0,0,1,1,1","0,1,0,0,0,3,3,3,2,1,0,0,3,1,2,3,1,1,3,3,0,0,3,3,2,0,3,1,3,3,0,1,0,3,2,2,0,2,1,1,3,1,2,2,3,3,3,1,0,0,2,1,2,1,3,1,0,3,0,1,3,3,1,0"
2025-07-02 11:59:55,f249e219,200,11,x3 mod 8,-6.826529502868652,-1.003999948501587,"0,2,0,0,2,0,0,1,1,0","0,1,0,0,0,3,3,3,2,3,0,1,3,1,2,3,1,1,3,3,0,0,3,3,2,0,3,1,3,3,0,1,0,3,2,2,0,2,1,1,3,1,3,1,3,3,3,1,0,0,2,2,2,1,3,0,0,3,0,1,3,3,1,0"
2025-07-02 12:02:41,f249e219,250,11,x3 mod 8,-6.826529502868652,-0.9157646894454956,"0,2,0,0,2,0,0,1,1,0","0,1,0,0,0,3,1,3,2,3,1,1,3,1,2,3,1,1,3,3,0,0,2,3,1,1,1,1,3,3,0,1,0,3,2,2,0,2,1,1,3,1,3,1,3,3,3,1,0,0,2,2,2,1,3,0,0,3,0,1,3,3,1,0"
2025-07-02 12:05:47,f249e219,300,11,x3 mod 8,-6.826529502868652,-0.8873529434204102,"0,2,0,1,2,0,0,1,1,0","0,1,0,0,0,3,1,3,2,3,1,1,3,1,2,3,1,1,3,3,0,0,3,3,0,1,3,1,3,3,0,1,0,3,2,2,3,2,1,1,1,1,3,2,3,3,2,1,0,0,1,2,2,1,3,0,0,3,0,1,3,3,1,0"
2025-07-02 12:25:14,4df156ae,50,4,divide by 2,-4.6020002365112305,-0.0010000000474974513,"0,0,0,0,0,0,0,0,0,1","0,0,0,0,1,0,0,3,2,2,3,2,3,1,3,3,1,1,0,3,2,0,3,1,0,0,2,1,0,0,2,1,0,2,2,1,2,2,3,0,3,2,2,3,3,0,2,3,0,1,3,2,2,3,1,1,1,3,2,3,3,3,0,3"
2025-07-02 12:30:55,f7557740,50,5,divide by 3,-5.677000045776367,-0.0010000000474974513,"0,0,0,0,0,0,0,0,0,1","0,2,0,0,1,1,3,0,2,3,2,1,3,3,3,3,1,1,1,0,1,1,2,2,3,3,0,3,3,3,3,3,0,3,3,0,1,3,0,2,3,2,3,3,3,3,1,0,0,1,1,0,1,1,0,0,3,2,0,0,3,2,3,0"
2025-07-02 12:41:33,15716893,50,11,x3 mod 8,-4.552999973297119,-2.000999927520752,"0,0,0,0,0,0,0,1,0,0","0,3,0,0,1,3,2,0,2,3,3,0,3,3,1,3,1,2,3,0,2,1,2,1,3,2,3,3,1,3,2,1,0,0,1,2,2,2,2,1,2,3,0,0,3,3,2,0,0,1,0,1,0,3,0,1,0,3,0,3,3,1,0,0"
2025-07-02 12:48:02,15716893,100,11,x3 mod 8,-4.552999973297119,-1.5049999952316284,"0,1,0,0,0,2,1,1,0,1","0,0,0,0,2,3,0,3,2,3,3,2,0,3,3,3,1,2,3,1,2,1,2,3,0,1,2,3,1,3,3,1,0,0,1,1,2,2,2,1,2,0,0,0,3,3,2,0,0,3,2,3,0,1,1,3,1,1,3,3,3,3,3,1"
2025-07-02 12:54:37,15716893,150,11,x3 mod 8,-4.552999973297119,-1.4539999961853027,"0,1,0,0,0,2,0,1,0,1","0,0,0,0,2,2,1,0,2,3,0,0,3,3,3,3,1,2,3,0,2,1,2,3,0,1,2,3,1,3,3,1,0,0,1,1,2,2,2,1,3,0,0,0,3,3,2,0,0,3,2,3,0,1,1,3,1,1,2,3,3,3,3,1"
2025-07-02 13:01:26,15716893,200,11,x3 mod 8,-4.552999973297119,-1.003999948501587,"0,1,0,0,0,2,1,0,0,1","0,0,0,0,2,1,2,0,2,3,3,1,1,3,3,3,1,2,3,1,2,1,2,3,0,1,1,3,1,3,3,1,0,0,3,1,2,2,2,1,2,0,0,0,0,1,2,0,0,3,1,1,3,1,1,3,3,1,0,1,3,3,3,1"
2025-07-02 13:16:02,bba1676a,50,12,x2 mod 3,-5.37066650390625,-0.6676666736602783,"0,0,0,0,0,0,0,0,0,1","0,3,0,0,0,3,1,0,2,3,2,2,3,2,0,3,1,1,1,0,0,3,3,0,2,1,0,1,2,3,2,0,0,1,1,2,0,1,0,0,1,1,3,1,0,1,1,1,0,1,0,2,1,1,2,1,0,2,2,1,3,3,2,1"
2025-07-02 13:20:57,bba1676a,100,12,x2 mod 3,-5.37066650390625,-0.10300000011920929,"0,0,0,0,0,0,1,0,1,1","0,3,0,0,0,0,3,2,2,2,3,3,0,1,2,3,1,1,2,1,0,0,0,0,0,1,2,1,3,0,2,1,0,0,3,3,2,0,3,2,3,3,3,3,0,3,3,3,0,1,2,1,1,1,2,0,1,1,2,0,3,0,0,2"
2025-07-02 13:25:46,bba1676a,150,12,x2 mod 3,-5.37066650390625,-0.10300000011920929,"0,0,0,0,0,0,1,0,1,1","0,3,0,0,0,0,3,2,2,2,3,3,0,1,2,3,1,1,2,1,0,0,0,0,0,1,2,1,3,0,2,1,0,0,3,3,2,0,3,2,3,3,3,3,0,3,3,3,0,1,2,1,1,1,2,0,1,1,2,0,3,0,0,2"
2025-07-02 13:30:13,bba1676a,200,12,x2 mod 3,-5.37066650390625,-0.10300000011920929,"0,0,0,0,0,0,1,0,1,1","0,3,0,0,0,0,3,2,2,2,3,3,0,1,2,3,1,1,2,1,0,0,0,0,3,1,2,1,3,0,2,1,0,0,3,1,2,0,0,2,3,3,1,3,0,3,3,3,0,1,0,2,1,1,3,0,1,1,0,0,3,1,0,2"
2025-07-02 13:34:37,bba1676a,250,12,x2 mod 3,-5.37066650390625,-0.10300000011920929,"0,0,0,0,0,0,1,0,1,1","0,3,0,0,0,0,3,2,2,2,3,3,0,1,2,3,1,1,2,2,0,0,0,1,1,1,3,1,3,0,2,1,0,0,3,3,2,1,0,2,3,3,3,1,0,3,1,3,0,1,0,3,1,1,1,0,1,1,1,0,3,3,0,2"
2025-07-02 13:39:06,bba1676a,300,12,x2 mod 3,-5.37066650390625,-0.10300000011920929,"0,0,0,0,0,0,1,0,1,1","0,3,0,0,0,0,3,2,2,2,3,3,0,0,2,3,1,1,2,3,0,1,0,1,3,3,1,1,3,0,1,3,0,3,3,0,2,0,0,2,3,3,0,1,0,3,1,3,0,1,2,3,1,1,1,0,1,1,2,0,3,0,0,2"
2025-07-02 13:43:15,bba1676a,350,12,x2 mod 3,-5.37066650390625,-0.10199999809265137,"0,0,0,0,0,0,1,0,0,1","0,3,0,0,0,0,3,2,2,2,3,3,0,1,2,3,1,1,2,2,0,0,3,3,1,2,0,1,0,0,0,1,0,0,1,1,2,1,3,2,3,3,2,0,0,3,1,3,0,1,1,0,1,1,1,0,1,1,1,0,3,0,0,2"
2025-07-02 13:47:17,bba1676a,400,12,x2 mod 3,-5.37066650390625,-0.06966666877269745,"0,0,0,0,0,0,1,0,1,1","0,3,0,0,0,0,2,2,2,2,3,3,0,3,2,3,1,1,2,2,0,0,2,0,2,1,1,1,3,0,3,3,0,3,3,3,2,3,2,2,3,3,2,0,0,3,3,3,0,1,3,0,1,1,1,0,1,1,2,0,3,2,0,2"
2025-07-02 15:08:51,deb8cd92,50,0,undefined,-6.001999855041504,-0.437333345413208,"0,1,2,0,2,0,0,0,1,0","0,3,0,0,2,3,2,2,2,0,0,0,3,0,1,3,1,0,2,2,1,1,2,0,3,2,2,2,3,3,0,3,0,1,2,1,3,1,3,3,0,3,1,0,3,3,3,3,0,2,3,0,1,1,3,1,2,0,2,3,3,1,0,2"
2025-07-02 15:14:06,deb8cd92,100,0,undefined,-6.001999855041504,-0.13633333146572113,"0,1,0,0,1,0,0,0,1,0","0,0,0,0,1,1,0,0,2,3,1,0,3,2,1,3,1,2,1,2,1,1,2,2,3,0,2,2,1,0,1,1,0,2,0,3,1,3,0,1,3,0,1,3,0,2,3,0,0,1,1,2,0,1,0,2,3,0,0,2,3,1,0,2"
2025-07-02 15:24:12,ff588318,50,12,x2 mod 3,-3.5343332290649414,-0.4009999930858612,"0,0,0,0,0,0,0,1,0,0","0,3,0,0,0,1,0,2,2,2,0,2,0,2,2,3,1,1,3,1,3,1,0,2,2,3,3,2,3,3,2,1,0,2,2,3,0,3,0,1,1,1,0,1,3,1,0,3,0,1,1,2,3,3,3,1,3,3,2,3,3,3,2,0"
2025-07-02 15:29:23,ff588318,100,12,x2 mod 3,-3.5343332290649414,-0.3696666657924652,"1,0,0,0,2,0,0,0,0,1","0,3,0,0,0,3,0,0,2,0,0,2,0,1,2,3,1,1,3,0,3,1,3,2,0,2,3,0,3,1,2,1,0,3,1,3,0,3,0,1,1,1,0,1,3,1,0,3,0,1,1,2,0,2,3,1,3,3,2,3,3,0,3,0"
2025-07-02 16:00:59,fdde4950,50,12,x2 mod 3,-4.136333465576172,-0.637333333492279,"0,2,0,1,0,0,2,0,0,1","0,0,0,0,1,3,1,3,2,1,3,0,2,1,3,3,1,2,3,0,1,1,2,3,1,2,3,2,3,2,2,0,0,0,1,2,0,1,3,0,2,3,0,2,0,0,3,2,0,0,2,3,1,1,3,3,3,1,2,3,3,1,3,0"
2025-07-02 16:07:01,fdde4950,100,12,x2 mod 3,-4.136333465576172,-0.10199999809265137,"0,0,0,0,1,0,0,0,0,1","0,0,0,0,1,3,1,3,2,1,1,0,1,3,2,3,1,2,3,3,1,1,2,3,2,3,0,2,3,3,2,1,0,0,0,3,3,1,2,0,2,3,1,0,3,3,1,1,0,3,0,2,3,1,3,1,0,3,0,1,3,2,0,3"
2025-07-02 16:12:13,fdde4950,150,12,x2 mod 3,-4.136333465576172,-0.03433333337306976,"0,0,0,0,0,0,0,0,0,1","0,0,0,0,1,3,1,2,2,1,1,0,2,3,2,3,1,1,3,3,1,1,2,0,3,3,2,3,2,3,3,0,0,2,0,2,0,1,2,2,2,1,1,3,0,0,0,3,0,0,0,2,3,1,1,0,2,2,2,2,3,3,2,0"
2025-07-02 16:17:33,fdde4950,200,12,x2 mod 3,-4.136333465576172,-0.03433333337306976,"0,0,0,0,0,0,0,0,0,1","0,0,0,0,1,3,1,2,2,1,3,1,3,3,2,3,1,2,3,3,1,1,2,0,3,0,0,3,2,0,3,2,0,2,0,0,3,1,2,2,2,1,1,3,0,2,2,3,0,2,0,2,3,1,3,0,2,2,2,2,3,3,2,1"
